Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),peak_brightness,year,month,hour,latitude,longitude
2017-02-25 01:22:59,29.5N,13.5E,25.4,12.2,-7.6,-9.3,2.2,65000000000.0,0.21,2017-02-25 01:22:59,2017,2,1,29.5,13.5
2017-02-22 18:47:30,50.7S,66.0W,,,,,,38000000000.0,0.13,2017-02-22 18:47:30,2017,2,18,-50.7,-66.0
2017-02-18 19:48:29,6.2N,60.4E,38.0,24.2,-6.6,-22.7,-5.3,295000000000.0,0.79,2017-02-18 19:48:29,2017,2,19,6.2,60.4
2017-02-07 17:37:31,27.4S,14.8W,54.0,,,,,20000000000.0,0.073,2017-02-07 17:37:31,2017,2,17,-27.4,-14.8
2017-02-06 06:09:59,10.4N,131.6E,33.5,,,,,66000000000.0,0.21,2017-02-06 06:09:59,2017,2,6,10.4,131.6
2016-12-23 03:29:09,21.3N,49.3E,42.0,29.7,-22.4,16.4,-10.5,38000000000.0,0.13,2016-12-23 03:29:09,2016,12,3,21.3,49.3
2016-12-07 04:51:39,34.5S,126.6W,,,,,,117000000000.0,0.35,2016-12-07 04:51:39,2016,12,4,-34.5,-126.6
2016-11-29 08:05:38,30.6S,93.1W,,,,,,31000000000.0,0.11,2016-11-29 08:05:38,2016,11,8,-30.6,-93.1
2016-11-24 14:10:34,15.2S,80.3E,30.6,17.4,9.1,-11.2,9.7,138000000000.0,0.4,2016-11-24 14:10:34,2016,11,14,-15.2,80.3
2016-11-03 17:14:29,39.6S,16.3W,37.0,,,,,76000000000.0,0.24,2016-11-03 17:14:29,2016,11,17,-39.6,-16.3
2016-10-01 20:23:45,36.2N,6.7E,27.8,14.2,-10.0,3.9,-9.3,31000000000.0,0.11,2016-10-01 20:23:45,2016,10,20,36.2,6.7
2016-09-22 04:57:49,51.8S,178.5E,40.0,17.5,-2.5,-3.3,17.0,71000000000.0,0.22,2016-09-22 04:57:49,2016,9,4,-51.8,178.5
2016-09-14 15:01:51,3.5S,44.6E,54.0,18.3,3.5,-16.2,7.7,76000000000.0,0.24,2016-09-14 15:01:51,2016,9,15,-3.5,44.6
2016-08-27 21:45:13,56.9S,162.2E,42.0,,,,,142000000000.0,0.41,2016-08-27 21:45:13,2016,8,21,-56.9,162.2
2016-08-11 05:59:58,43.7S,53.8E,34.3,14.9,-0.7,-11.4,9.6,184000000000.0,0.52,2016-08-11 05:59:58,2016,8,5,-43.7,53.8
2016-08-05 18:02:44,46.4N,171.6E,32.4,,,,,121000000000.0,0.36,2016-08-05 18:02:44,2016,8,18,46.4,171.6
2016-07-21 00:48:53,7.8N,1.6W,37.0,,,,,45000000000.0,0.15,2016-07-21 00:48:53,2016,7,0,7.8,-1.6
2016-07-05 01:24:26,1.0N,48.6E,38.2,25.1,-10.3,-2.0,-22.8,153000000000.0,0.44,2016-07-05 01:24:26,2016,7,1,1.0,48.6
2016-06-27 10:02:42,15.8N,11.9W,33.3,29.1,-29.1,1.5,0.7,458000000000.0,1.2,2016-06-27 10:02:42,2016,6,10,15.8,-11.9
2016-06-05 06:12:55,17.4S,138.3E,28.7,14.5,6.0,-11.9,5.7,331000000000.0,0.87,2016-06-05 06:12:55,2016,6,6,-17.4,138.3
2016-06-02 10:56:32,33.8N,110.9W,,,,,,172000000000.0,0.49,2016-06-02 10:56:32,2016,6,10,33.8,-110.9
2016-05-29 12:14:55,10.2N,48.8W,32.0,,,,,69000000000.0,0.22,2016-05-29 12:14:55,2016,5,12,10.2,-48.8
2016-05-20 11:59:46,32.8S,15.1E,30.6,20.8,5.4,-9.9,17.5,20000000000.0,0.073,2016-05-20 11:59:46,2016,5,11,-32.8,15.1
2016-05-16 10:09:41,3.2N,6.6E,41.7,12.2,-6.7,-3.3,-9.6,519000000000.0,1.3,2016-05-16 10:09:41,2016,5,10,3.2,6.6
2016-05-13 00:34:01,26.2N,122.3W,33.0,,,,,101000000000.0,0.31,2016-05-13 00:34:01,2016,5,0,26.2,-122.3
2016-04-24 05:39:24,9.8N,42.8W,50.0,,,,,146000000000.0,0.42,2016-04-24 05:39:24,2016,4,5,9.8,-42.8
2016-04-18 11:59:10,20.7N,14.5W,31.5,17.1,-3.5,2.2,-16.6,224000000000.0,0.62,2016-04-18 11:59:10,2016,4,11,20.7,-14.5
2016-04-12 09:51:40,38.3N,162.2E,,,,,,20000000000.0,0.073,2016-04-12 09:51:40,2016,4,9,38.3,162.2
2016-04-10 14:57:53,22.0N,149.0E,35.2,15.1,4.7,-12.9,-6.4,655000000000.0,1.6,2016-04-10 14:57:53,2016,4,14,22.0,149.0
2016-03-16 23:54:20,49.2S,6.3W,42.0,13.3,-7.6,9.1,6.0,32000000000.0,0.11,2016-03-16 23:54:20,2016,3,23,-49.2,-6.3
2016-03-03 01:32:43,48.0S,51.0E,31.8,11.7,4.8,-7.1,7.9,58000000000.0,0.19,2016-03-03 01:32:43,2016,3,1,-48.0,51.0
2016-02-23 03:59:13,32.3N,67.2E,44.0,17.9,-8.5,-1.6,-15.7,35000000000.0,0.12,2016-02-23 03:59:13,2016,2,3,32.3,67.2
2016-02-21 05:58:53,36.5N,37.2W,32.0,,,,,369000000000.0,0.96,2016-02-21 05:58:53,2016,2,5,36.5,-37.2
2016-02-19 08:15:02,0.7N,11.6W,39.4,15.5,-14.9,-0.5,4.1,202000000000.0,0.56,2016-02-19 08:15:02,2016,2,8,0.7,-11.6
2016-02-06 13:55:09,30.4S,25.5W,31.0,15.6,2.7,14.5,5.0,6853000000000.0,13.0,2016-02-06 13:55:09,2016,2,13,-30.4,-25.5
2016-01-27 09:59:16,45.8S,53.6E,37.0,11.5,-10.0,-4.4,3.6,50000000000.0,0.16,2016-01-27 09:59:16,2016,1,9,-45.8,53.6
